ticker,cik,filing_url,revenue_policy
UBER,0001543151,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315125000008/uber-20241231.htm,Not Found
TXN,0000097476,https://www.sec.gov/ix?doc=/Archives/edgar/data/97476/000009747625000007/txn-20241231.htm,Not Found
VZ,0000732712,https://www.sec.gov/ix?doc=/Archives/edgar/data/732712/000073271225000006/vz-20241231.htm,Not Found
HDB,0001144967,,Not Found
INTU,0000896878,https://www.sec.gov/ix?doc=/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm,Not Found
TMO,0000097745,https://www.sec.gov/ix?doc=/Archives/edgar/data/97745/000009774525000010/tmo-20241231.htm,Not Found
CYATY,0002070829,,Not Found
NOW,0001373715,https://www.sec.gov/ix?doc=/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm,Not Found
BKNG,0001075531,https://www.sec.gov/ix?doc=/Archives/edgar/data/1075531/000107553125000010/bkng-20241231.htm,Not Found
DTEGY,0000946770,,Not Found
SHOP,0001594805,https://www.sec.gov/ix?doc=/Archives/edgar/data/1594805/000159480525000012/shop-20241231.htm,Not Found
C,0000831001,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100125000067/c-20241231.htm,Not Found
BA,0000012927,https://www.sec.gov/ix?doc=/Archives/edgar/data/12927/000001292725000015/ba-20241231.htm,Not Found
SCHW,0000316709,https://www.sec.gov/ix?doc=/Archives/edgar/data/316709/000031670925000010/schw-20241231.htm,Not Found
BLK,0002012383,https://www.sec.gov/ix?doc=/Archives/edgar/data/2012383/000095017025026584/blk-20241231.htm,Not Found
MUFG,0000067088,,Not Found
PDD,0001737806,,Not Found
QCOM,0000804328,https://www.sec.gov/ix?doc=/Archives/edgar/data/804328/000080432824000075/qcom-20240929.htm,Not Found
GEV,0001996810,https://www.sec.gov/ix?doc=/Archives/edgar/data/1996810/000199681025000011/gev-20241231.htm,Not Found
ISRG,0001035267,https://www.sec.gov/ix?doc=/Archives/edgar/data/1035267/000103526725000017/isrg-20241231.htm,Not Found
SPGI,0000064040,https://www.sec.gov/ix?doc=/Archives/edgar/data/64040/000006404025000052/spgi-20241231.htm,Not Found
ANET,0001596532,https://www.sec.gov/ix?doc=/Archives/edgar/data/1596532/000159653225000028/anet-20241231.htm,Not Found
SONY,0000313838,,Not Found
ACN,0001467373,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737324000278/acn-20240831.htm,Not Found
BSX,0000885725,https://www.sec.gov/ix?doc=/Archives/edgar/data/885725/000088572525000011/bsx-20241231.htm,Not Found
APP,0001751008,https://www.sec.gov/ix?doc=/Archives/edgar/data/1751008/000175100825000018/app-20241231.htm,Not Found
AMGN,0000318154,https://www.sec.gov/ix?doc=/Archives/edgar/data/318154/000031815425000010/amgn-20241231.htm,Not Found
UL,0000217410,,Not Found
TJX,0000109198,https://www.sec.gov/ix?doc=/Archives/edgar/data/109198/000010919825000010/tjx-20250201.htm,Not Found
NEE,0000753308,https://www.sec.gov/ix?doc=/Archives/edgar/data/753308/000075330825000011/nee-20241231.htm,Not Found
ADBE,0000796343,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634325000004/adbe-20241129.htm,Not Found
SYK,0000310764,https://www.sec.gov/ix?doc=/Archives/edgar/data/310764/000031076425000023/syk-20241231.htm,Not Found
ARM,0001973239,,Not Found
DHR,0000313616,https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361625000043/dhr-20241231.htm,Not Found
LOW,0000060667,https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066725000049/low-20250131.htm,Not Found
COF,0000927628,https://www.sec.gov/ix?doc=/Archives/edgar/data/927628/000092762825000092/cof-20241231.htm,Not Found
PGR,0000080661,https://www.sec.gov/ix?doc=/Archives/edgar/data/80661/000008066125000007/pgr-20241231.htm,Not Found
PFE,0000078003,https://www.sec.gov/ix?doc=/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,Not Found
SPOT,0001639920,,Not Found
BHP,0000811809,,Not Found
GILD,0000882095,https://www.sec.gov/ix?doc=/Archives/edgar/data/882095/000088209525000006/gild-20241231.htm,Not Found
HON,0000773840,https://www.sec.gov/ix?doc=/Archives/edgar/data/773840/000077384025000010/hon-20241231.htm,Not Found
SAN,0000891478,,Not Found
TTE,0000879764,,Not Found
ETN,0001551182,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118225000006/etn-20241231.htm,Not Found
APH,0000820313,https://www.sec.gov/ix?doc=/Archives/edgar/data/820313/000155837025000714/aph-20241231x10k.htm,Not Found
DE,0000315189,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837024016169/de-20241027x10k.htm,Not Found
MU,0000723125,https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312524000027/mu-20240829.htm,Not Found
TD,0000947263,,Not Found
UNP,0000100885,https://www.sec.gov/ix?doc=/Archives/edgar/data/100885/000010088525000042/unp-20241231.htm,Not Found
AMAT,0000006951,https://www.sec.gov/ix?doc=/Archives/edgar/data/6951/000000695124000044/amat-20241027.htm,Not Found
KKR,0001404912,https://www.sec.gov/ix?doc=/Archives/edgar/data/1404912/000140491225000015/kkr-20241231.htm,Not Found
LRCX,0000707549,https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,Not Found
UBS,0001610520,,Not Found
ADI,0000006281,https://www.sec.gov/ix?doc=/Archives/edgar/data/6281/000000628124000204/adi-20241102.htm,Not Found
BTI,0001303523,,Not Found
HTHIY,0000047710,,Not Found
PANW,0001327567,https://www.sec.gov/ix?doc=/Archives/edgar/data/1327567/000132756725000027/panw-20250731.htm,Not Found
CMCSA,0001166691,https://www.sec.gov/ix?doc=/Archives/edgar/data/1166691/000116669125000011/cmcsa-20241231.htm,Not Found
BUD,0001668717,,Not Found
SNY,0001121404,,Not Found
ADP,0000008670,https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867025000037/adp-20250630.htm,Not Found
COP,0001163165,https://www.sec.gov/ix?doc=/Archives/edgar/data/1163165/000116316525000012/cop-20241231.htm,Not Found
MELI,0001099590,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099590/000109959025000007/meli-20241231.htm,Not Found
RTNTF,0000887028,,Not Found
MDT,0001613103,https://www.sec.gov/ix?doc=/Archives/edgar/data/1613103/000161310325000091/mdt-20250425.htm,Not Found
KLAC,0000319201,https://www.sec.gov/ix?doc=/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,Not Found
IBN,0001103838,,Not Found
NKE,0000320187,https://www.sec.gov/ix?doc=/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm,Not Found
WELL,0000766704,https://www.sec.gov/ix?doc=/Archives/edgar/data/766704/000076670425000009/well-20241231.htm,Not Found
MO,0000764180,https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418025000019/mo-20241231.htm,Not Found
SNPS,0000883241,https://www.sec.gov/ix?doc=/Archives/edgar/data/883241/000088324124000024/snps-20241031.htm,Not Found
CB,0000896159,https://www.sec.gov/ix?doc=/Archives/edgar/data/896159/000089615925000004/cb-20241231.htm,Not Found
SE,0001703399,,Not Found
INTC,0000050863,https://www.sec.gov/ix?doc=/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,Not Found
LMT,0000936468,https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646825000009/lmt-20241231.htm,Not Found
CRWD,0001535527,https://www.sec.gov/ix?doc=/Archives/edgar/data/1535527/000153552725000009/crwd-20250131.htm,Not Found
SMFG,0001022837,,Not Found
DASH,0001792789,https://www.sec.gov/ix?doc=/Archives/edgar/data/1792789/000162828025005715/dash-20241231.htm,Not Found
IBKR,0001381197,https://www.sec.gov/ix?doc=/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm,Not Found
PLD,0001045609,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045609/000095017025021272/pld-20241231.htm,Not Found
ENB,0000895728,https://www.sec.gov/ix?doc=/Archives/edgar/data/895728/000089572825000006/enb-20241231.htm,Not Found
BBVA,0000842180,,Not Found
SO,0000092122,https://www.sec.gov/ix?doc=/Archives/edgar/data/92122/000009212225000018/so-20241231.htm,Not Found
ICE,0001571949,https://www.sec.gov/ix?doc=/Archives/edgar/data/1571949/000157194925000003/ice-20241231.htm,Not Found
MMC,0000062709,https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270925000015/mmc-20241231.htm,Not Found
CFRUY,0000948401,,Not Found
RIO,0000863064,,Not Found
VRTX,0000875320,https://www.sec.gov/ix?doc=/Archives/edgar/data/875320/000087532025000053/vrtx-20241231.htm,Not Found
SBUX,0000829224,https://www.sec.gov/ix?doc=/Archives/edgar/data/829224/000082922424000057/sbux-20240929.htm,Not Found
CEG,0001868275,https://www.sec.gov/ix?doc=/Archives/edgar/data/1868275/000186827525000023/ceg-20241231.htm,Not Found
BN,0001001085,,Not Found
RCL,0000884887,https://www.sec.gov/ix?doc=/Archives/edgar/data/884887/000088488725000050/rcl-20241231.htm,Not Found
CME,0001156375,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156375/000115637525000021/cme-20241231.htm,Not Found
MSTR,0001050446,https://www.sec.gov/ix?doc=/Archives/edgar/data/1050446/000095017025021814/mstr-20241231.htm,Not Found
BAM,0001937926,https://www.sec.gov/ix?doc=/Archives/edgar/data/1937926/000193792625000007/bam-20241231.htm,Not Found
PH,0000076334,https://www.sec.gov/ix?doc=/Archives/edgar/data/76334/000007633425000035/ph-20250630.htm,Not Found
BMY,0000014272,https://www.sec.gov/ix?doc=/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm,Not Found
DUK,0001326160,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616025000072/duk-20241231.htm,Not Found
AMT,0001053507,https://www.sec.gov/ix?doc=/Archives/edgar/data/1053507/000105350725000025/amt-20241231.htm,Not Found
HCA,0000860730,https://www.sec.gov/ix?doc=/Archives/edgar/data/860730/000095017025020134/hca-20241231.htm,Not Found
TT,0001466258,https://www.sec.gov/ix?doc=/Archives/edgar/data/1466258/000146625825000039/tt-20241231.htm,Not Found
CDNS,0000813672,https://www.sec.gov/ix?doc=/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm,Not Found
HOOD,0001783879,https://www.sec.gov/ix?doc=/Archives/edgar/data/1783879/000178387925000049/hood-20241231.htm,Not Found
SHW,0000089800,https://www.sec.gov/ix?doc=/Archives/edgar/data/89800/000008980025000030/shw-20241231.htm,Not Found
MCO,0001059556,https://www.sec.gov/ix?doc=/Archives/edgar/data/1059556/000105955625000025/mco-20241231.htm,Not Found
CVS,0000064803,https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480325000007/cvs-20241231.htm,Not Found
WM,0000823768,https://www.sec.gov/ix?doc=/Archives/edgar/data/823768/000155837025001132/wm-20241231x10k.htm,Not Found
BP,0000313807,,Not Found
DELL,0001571996,https://www.sec.gov/ix?doc=/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm,Not Found
ORLY,0000898173,https://www.sec.gov/ix?doc=/Archives/edgar/data/898173/000089817325000008/orly-20241231x10k.htm,Not Found
RELX,0000929869,,Not Found
GD,0000040533,https://www.sec.gov/ix?doc=/Archives/edgar/data/40533/000004053325000008/gd-20241231.htm,Not Found
BMO,0000927971,,Not Found
CTAS,0000723254,https://www.sec.gov/ix?doc=/Archives/edgar/data/723254/000072325425000017/ctas-20250531.htm,Not Found
NTES,0001110646,,Not Found
RBLX,0001315098,https://www.sec.gov/ix?doc=/Archives/edgar/data/1315098/000131509825000033/rblx-20241231.htm,Not Found
MCK,0000927653,https://www.sec.gov/ix?doc=/Archives/edgar/data/927653/000092765325000036/mck-20250331.htm,Not Found
RACE,0001648416,,Not Found
NOC,0001133421,https://www.sec.gov/ix?doc=/Archives/edgar/data/1133421/000113342125000006/noc-20241231.htm,Not Found
MMM,0000066740,https://www.sec.gov/ix?doc=/Archives/edgar/data/66740/000006674025000006/mmm-20241231.htm,Not Found
MFG,0001335730,,Not Found
GLD,0001222333,https://www.sec.gov/ix?doc=/Archives/edgar/data/1222333/000143774924036161/gld20240930_10k.htm,Not Found
PNC,0000713676,https://www.sec.gov/ix?doc=/Archives/edgar/data/713676/000071367625000027/pnc-20241231.htm,Not Found
GSK,0001131399,,Not Found
CI,0001739940,https://www.sec.gov/ix?doc=/Archives/edgar/data/1739940/000173994025000009/ci-20241231.htm,Not Found
ECL,0000031462,https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837025001263/ecl-20241231x10k.htm,Not Found
COIN,0001679788,https://www.sec.gov/ix?doc=/Archives/edgar/data/1679788/000167978825000022/coin-20241231.htm,Not Found
MDLZ,0001103982,https://www.sec.gov/ix?doc=/Archives/edgar/data/1103982/000110398225000030/mdlz-20241231.htm,Not Found
NEM,0001164727,https://www.sec.gov/ix?doc=/Archives/edgar/data/1164727/000116472725000011/nem-20241231.htm,Not Found
ABNB,0001559720,https://www.sec.gov/ix?doc=/Archives/edgar/data/1559720/000155972025000010/abnb-20241231.htm,Not Found
AON,0000315293,https://www.sec.gov/ix?doc=/Archives/edgar/data/315293/000162828025006093/aon-20241231.htm,Not Found
TRI,0001075124,,Not Found
TDG,0001260221,https://www.sec.gov/ix?doc=/Archives/edgar/data/1260221/000126022124000083/tdg-20240930.htm,Not Found
SCCO,0001001838,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837025002017/scco-20241231x10k.htm,Not Found
ITW,0000049826,https://www.sec.gov/ix?doc=/Archives/edgar/data/49826/000004982625000007/itw-20241231.htm,Not Found
APO,0001858681,https://www.sec.gov/ix?doc=/Archives/edgar/data/1858681/000185868125000034/apo-20241231.htm,Not Found
MSI,0000068505,https://www.sec.gov/ix?doc=/Archives/edgar/data/68505/000006850525000012/msi-20241231.htm,Not Found
EQIX,0001101239,https://www.sec.gov/ix?doc=/Archives/edgar/data/1101239/000162828025005126/eqix-20241231.htm,Not Found
BNS,0000009631,,Not Found
MGCLY,0002039784,,Not Found
AJG,0000354190,https://www.sec.gov/ix?doc=/Archives/edgar/data/354190/000095017025021775/ajg-20241231.htm,Not Found
PBR,0001119639,,Not Found
CRH,0000849395,https://www.sec.gov/ix?doc=/Archives/edgar/data/849395/000162828025008179/crh-20241231.htm,Not Found
USB,0000036104,https://www.sec.gov/ix?doc=/Archives/edgar/data/36104/000003610425000016/usb-20241231.htm,Not Found
FI,0000798354,https://www.sec.gov/ix?doc=/Archives/edgar/data/798354/000079835425000047/fi-20241231.htm,Not Found
EMR,0000032604,https://www.sec.gov/ix?doc=/Archives/edgar/data/32604/000003260424000041/emr-20240930.htm,Not Found
UPS,0001090727,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090727/000109072725000019/ups-20241231.htm,Not Found
BK,0001390777,https://www.sec.gov/ix?doc=/Archives/edgar/data/1390777/000139077725000046/bk-20241231.htm,Not Found
RSG,0001060391,https://www.sec.gov/ix?doc=/Archives/edgar/data/1060391/000106039125000091/rsg-20241231.htm,Not Found
MAR,0001048286,https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000162828025004818/mar-20241231.htm,Not Found
INFY,0001067491,,Not Found
ING,0001039765,,Not Found
JCI,0000833444,https://www.sec.gov/ix?doc=/Archives/edgar/data/833444/000083344424000064/jci-20240930.htm,Not Found
NGG,0001004315,,Not Found
ITUB,0001132597,,Not Found
NET,0001477333,https://www.sec.gov/ix?doc=/Archives/edgar/data/1477333/000147733325000043/cloud-20241231.htm,Not Found
HWM,0000004281,https://www.sec.gov/ix?doc=/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm,Not Found
BCS,0000312069,,Not Found
NU,0001691493,,Not Found
CM,0001045520,,Not Found
CP,0000016875,https://www.sec.gov/ix?doc=/Archives/edgar/data/16875/000001687525000008/cp-20241231.htm,Not Found
BAESY,0000895564,,Not Found
WMB,0000107263,https://www.sec.gov/ix?doc=/Archives/edgar/data/107263/000010726325000031/wmb-20241231.htm,Not Found
AZO,0000866787,https://www.sec.gov/ix?doc=/Archives/edgar/data/866787/000155837024013758/azo-20240831x10k.htm,Not Found
AEM,0000002809,,Not Found
ELV,0001156039,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603925000010/elv-20241231.htm,Not Found
ZTS,0001555280,https://www.sec.gov/ix?doc=/Archives/edgar/data/1555280/000155528025000102/zts-20241231.htm,Not Found
EPD,0001061219,https://www.sec.gov/ix?doc=/Archives/edgar/data/1061219/000106121925000006/form10k.htm,Not Found
DB,0001159508,,Not Found
CL,0000021665,https://www.sec.gov/ix?doc=/Archives/edgar/data/21665/000002166525000008/cl-20241231.htm,Not Found
EOG,0000821189,https://www.sec.gov/ix?doc=/Archives/edgar/data/821189/000082118925000011/eog-20241231.htm,Not Found
SPG,0001063761,https://www.sec.gov/ix?doc=/Archives/edgar/data/1063761/000155837025001271/spg-20241231x10k.htm,Not Found
SNOW,0001640147,https://www.sec.gov/ix?doc=/Archives/edgar/data/1640147/000164014725000052/snow-20250131.htm,Not Found
LYG,0001160106,,Not Found
PYPL,0001633917,https://www.sec.gov/ix?doc=/Archives/edgar/data/1633917/000163391725000019/pypl-20241231.htm,Not Found
VST,0001692819,https://www.sec.gov/ix?doc=/Archives/edgar/data/1692819/000169281925000013/vistra-20241231.htm,Not Found
APD,0000002969,https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296924000056/apd-20240930.htm,Not Found
CNQ,0001017413,,Not Found
HLT,0001585689,https://www.sec.gov/ix?doc=/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm,Not Found
MRVL,0001835632,https://www.sec.gov/ix?doc=/Archives/edgar/data/1835632/000183563225000057/mrvl-20250201.htm,Not Found
BMWKY,0001446250,,Not Found
DEO,0000835403,,Not Found
FCX,0000831259,https://www.sec.gov/ix?doc=/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,Not Found
EQNR,0001140625,,Not Found
REGN,0000872589,https://www.sec.gov/ix?doc=/Archives/edgar/data/872589/000180422025000011/regn-20241231.htm,Not Found
IAU,0001278680,https://www.sec.gov/ix?doc=/Archives/edgar/data/1278680/000143774925004257/iau20241231_10k.htm,Not Found
TRV,0000086312,https://www.sec.gov/ix?doc=/Archives/edgar/data/86312/000008631225000012/trv-20241231.htm,Not Found
TEL,0001385157,https://www.sec.gov/ix?doc=/Archives/edgar/data/1385157/000155837024015227/tel-20240927x10k.htm,Not Found
NSC,0000702165,https://www.sec.gov/ix?doc=/Archives/edgar/data/702165/000070216525000008/nsc-20241231.htm,Not Found
WDAY,0001327811,https://www.sec.gov/ix?doc=/Archives/edgar/data/1327811/000132781125000056/wday-20250131.htm,Not Found
URI,0001067701,https://www.sec.gov/ix?doc=/Archives/edgar/data/1067701/000106770125000008/uri-20241231.htm,Not Found
ADSK,0000769397,https://www.sec.gov/ix?doc=/Archives/edgar/data/769397/000076939725000019/adsk-20250131.htm,Not Found
AXON,0001069183,https://www.sec.gov/ix?doc=/Archives/edgar/data/1069183/000106918325000019/axon-20241231.htm,Not Found
GBTC,0001588489,https://www.sec.gov/ix?doc=/Archives/edgar/data/1588489/000095017025029408/gbtc-20241231.htm,Not Found
CNI,0000016868,,Not Found
AMX,0001129137,,Not Found
ET,0001276187,https://www.sec.gov/ix?doc=/Archives/edgar/data/1276187/000127618725000018/et-20241231.htm,Not Found
CSX,0000277948,https://www.sec.gov/ix?doc=/Archives/edgar/data/277948/000027794825000008/csx-20241231.htm,Not Found
AEP,0000004904,https://www.sec.gov/ix?doc=/Archives/edgar/data/4904/000000490425000027/aep-20241231.htm,Not Found
TFC,0000092230,https://www.sec.gov/ix?doc=/Archives/edgar/data/92230/000009223025000020/tfc-20241231.htm,Not Found
MNST,0000865752,https://www.sec.gov/ix?doc=/Archives/edgar/data/865752/000141057825000248/mnst-20241231x10k.htm,Not Found
KMI,0001506307,https://www.sec.gov/ix?doc=/Archives/edgar/data/1506307/000150630725000008/kmi-20241231.htm,Not Found
NWG,0000844150,,Not Found
NXPI,0001413447,https://www.sec.gov/ix?doc=/Archives/edgar/data/1413447/000141344725000019/nxpi-20241231.htm,Not Found
FTNT,0001262039,https://www.sec.gov/ix?doc=/Archives/edgar/data/1262039/000126203925000011/ftnt-20241231.htm,Not Found
ALNY,0001178670,https://www.sec.gov/ix?doc=/Archives/edgar/data/1178670/000117867025000026/alny-20241231.htm,Not Found
ARES,0001176948,https://www.sec.gov/ix?doc=/Archives/edgar/data/1176948/000162828025008665/ares-20241231.htm,Not Found
DLR,0001297996,https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837025001424/dlr-20241231x10k.htm,Not Found
CARR,0001783180,https://www.sec.gov/ix?doc=/Archives/edgar/data/1783180/000178318025000008/carr-20241231.htm,Not Found
AFL,0000004977,https://www.sec.gov/ix?doc=/Archives/edgar/data/4977/000000497725000047/afl-20241231.htm,Not Found
GLW,0000024741,https://www.sec.gov/ix?doc=/Archives/edgar/data/24741/000162828025005347/glw-20241231.htm,Not Found
FAST,0000815556,https://www.sec.gov/ix?doc=/Archives/edgar/data/815556/000081555625000065/fast-20241231.htm,Not Found
CMG,0001058090,https://www.sec.gov/ix?doc=/Archives/edgar/data/1058090/000105809025000014/cmg-20241231.htm,Not Found
PWR,0001050915,https://www.sec.gov/ix?doc=/Archives/edgar/data/1050915/000105091525000005/pwr-20241231.htm,Not Found
